Age,Total_Score,Study_Hours_per_Week,Sleep_Hours_per_Night,id,cluster,Academic_risk,Gender,Family_Income_Level
18.0,99.1,10.3,6.6,33.0,cluster_2,Low,Male,Medium
24.0,77.0,13.4,7.8,34.0,cluster_0,Medium,Male,Low
20.0,96.4,19.6,4.1,35.0,cluster_2,Low,Female,Medium
23.0,98.0,13.9,8.4,36.0,cluster_2,Low,Female,Medium
19.0,82.6,5.3,6.8,37.0,cluster_0,Medium,Male,Medium
24.0,73.6,10.1,5.2,38.0,cluster_0,Medium,Male,Medium
22.0,68.3,21.2,8.9,39.0,cluster_0,Medium,Female,Medium
22.0,74.9,19.4,8.6,40.0,cluster_0,Medium,Male,Medium
20.0,81.8,10.0,7.6,41.0,cluster_0,Medium,Male,Low
22.0,93.4,29.7,5.4,42.0,cluster_2,Low,Male,Medium
18.0,83.4,20.5,6.5,43.0,cluster_2,Low,Male,Low
23.0,94.2,10.0,7.9,44.0,cluster_2,Low,Male,Low
21.0,77.3,12.7,4.9,45.0,cluster_0,Medium,Male,High
23.0,91.6,21.5,6.7,46.0,cluster_2,Low,Female,Low
21.0,63.0,17.8,6.8,47.0,cluster_1,High,Female,Low
21.0,56.2,19.8,7.3,48.0,cluster_1,High,Male,High
22.0,66.0,19.2,7.4,49.0,cluster_1,High,Male,Medium
20.0,91.0,16.9,4.1,50.0,cluster_2,Low,Male,High
23.0,89.4,24.8,4.7,51.0,cluster_2,Low,Male,Medium
24.0,91.9,14.9,4.2,52.0,cluster_2,Low,Male,Low
23.0,72.4,10.8,5.4,53.0,cluster_0,Medium,Female,Low
20.0,69.5,29.2,4.4,54.0,cluster_0,Medium,Male,Medium
18.0,79.9,11.9,9.0,55.0,cluster_0,Medium,Male,Medium
20.0,68.8,9.6,4.3,56.0,cluster_0,Medium,Female,Medium
21.0,50.3,26.8,8.2,57.0,cluster_1,High,Female,High
23.0,88.3,8.0,6.4,58.0,cluster_2,Low,Female,Medium
20.0,70.8,21.1,7.1,59.0,cluster_0,Medium,Female,Medium
20.0,100.0,26.9,5.2,60.0,cluster_2,Low,Female,Medium
24.0,85.7,9.7,8.6,61.0,cluster_2,Low,Female,Medium
22.0,72.8,9.6,6.4,62.0,cluster_0,Medium,Female,Low
23.0,50.7,26.5,7.9,63.0,cluster_1,High,Male,Medium
19.0,50.5,11.8,6.6,64.0,cluster_1,High,Female,Medium
22.0,99.1,26.7,6.3,65.0,cluster_2,Low,Female,Low
22.0,63.6,6.4,7.4,66.0,cluster_1,High,Male,Medium
19.0,84.1,7.1,5.5,67.0,cluster_2,Low,Male,Medium
23.0,58.6,25.5,8.6,68.0,cluster_1,High,Female,Low
24.0,65.6,25.4,8.2,69.0,cluster_1,High,Male,Low
21.0,94.0,6.0,4.3,70.0,cluster_2,Low,Female,Medium
24.0,61.5,16.3,6.1,71.0,cluster_1,High,Female,Medium
22.0,64.3,13.7,5.4,72.0,cluster_1,High,Male,Medium
21.0,98.1,25.2,6.6,73.0,cluster_2,Low,Female,Low
23.0,62.4,7.6,4.6,74.0,cluster_1,High,Male,Medium
20.0,99.8,29.3,6.4,75.0,cluster_2,Low,Female,Low
20.0,94.8,5.5,6.3,76.0,cluster_2,Low,Male,Medium
21.0,79.0,9.1,7.2,77.0,cluster_0,Medium,Female,Low
24.0,67.6,15.5,6.8,78.0,cluster_0,Medium,Male,High
19.0,54.0,18.7,8.5,79.0,cluster_1,High,Male,High
21.0,95.5,9.8,8.5,80.0,cluster_2,Low,Male,Medium
24.0,73.0,11.6,5.5,81.0,cluster_0,Medium,Female,High
20.0,65.4,13.0,5.7,82.0,cluster_1,High,Male,High
18.0,93.3,22.1,4.3,83.0,cluster_2,Low,Male,Low
20.0,69.2,24.5,7.9,84.0,cluster_0,Medium,Male,Low
24.0,61.5,13.1,5.5,85.0,cluster_1,High,Female,High
21.0,97.4,14.2,8.3,86.0,cluster_2,Low,Female,High
21.0,83.8,25.5,5.4,87.0,cluster_2,Low,Male,Medium
24.0,83.4,27.2,7.0,88.0,cluster_0,Medium,Female,Low
23.0,69.7,9.7,7.5,89.0,cluster_0,Medium,Male,Medium
20.0,51.5,23.4,4.6,90.0,cluster_1,High,Female,Medium
20.0,53.3,16.6,8.2,91.0,cluster_1,High,Female,Medium
22.0,92.3,24.5,6.8,92.0,cluster_2,Low,Female,Medium
18.0,96.3,28.7,7.2,93.0,cluster_2,Low,Female,High
24.0,55.2,27.5,6.7,94.0,cluster_1,High,Female,Low
23.0,67.1,16.6,8.7,95.0,cluster_0,Medium,Male,Medium
22.0,56.8,26.0,4.5,96.0,cluster_1,High,Female,Low
18.0,77.8,19.7,7.6,97.0,cluster_0,Medium,Male,Low
21.0,67.7,13.8,6.5,98.0,cluster_0,Medium,Male,Medium
23.0,100.0,23.3,6.1,99.0,cluster_2,Low,Male,Low
24.0,66.3,13.4,8.6,100.0,cluster_1,High,Female,High
20.0,82.9,29.3,4.3,101.0,cluster_0,Medium,Female,Low
21.0,54.4,20.4,7.1,102.0,cluster_1,High,Male,High
24.0,76.2,7.4,8.5,103.0,cluster_0,Medium,Male,Low
24.0,68.8,29.2,8.0,104.0,cluster_0,Medium,Male,Medium
18.0,85.3,16.4,6.7,105.0,cluster_2,Low,Female,High
22.0,98.6,11.3,8.1,106.0,cluster_2,Low,Female,Medium
18.0,88.3,27.5,8.3,107.0,cluster_2,Low,Male,Medium
21.0,76.5,12.7,8.6,108.0,cluster_0,Medium,Male,Low
19.0,83.4,11.4,8.8,109.0,cluster_2,Low,Male,Low
23.0,85.4,23.4,7.2,110.0,cluster_2,Low,Female,High
21.0,85.9,7.5,4.4,111.0,cluster_2,Low,Female,Low
23.0,88.6,6.2,6.6,112.0,cluster_2,Low,Female,High
23.0,97.0,29.6,8.7,113.0,cluster_2,Low,Male,Low
21.0,62.8,26.0,7.6,114.0,cluster_1,High,Female,High
24.0,63.6,9.7,7.4,115.0,cluster_1,High,Female,Medium
18.0,63.7,17.6,8.7,116.0,cluster_1,High,Male,Medium
20.0,96.4,8.9,8.8,117.0,cluster_2,Low,Female,High
24.0,86.0,14.2,4.1,118.0,cluster_2,Low,Male,Low
24.0,79.5,20.7,4.0,119.0,cluster_0,Medium,Male,Medium
19.0,66.3,11.1,6.8,120.0,cluster_1,High,Male,Low
23.0,73.0,16.6,8.8,121.0,cluster_0,Medium,Female,Medium
18.0,77.0,18.0,4.3,122.0,cluster_0,Medium,Female,Medium
24.0,88.8,15.6,8.7,123.0,cluster_2,Low,Female,Low
18.0,71.3,20.8,4.6,124.0,cluster_0,Medium,Male,Low
24.0,83.4,19.4,4.1,125.0,cluster_2,Low,Female,High
23.0,66.7,17.0,6.6,126.0,cluster_0,Medium,Female,High
20.0,84.6,14.5,6.5,127.0,cluster_2,Low,Male,Medium
22.0,79.5,21.0,4.6,128.0,cluster_0,Medium,Female,High
23.0,78.3,26.4,5.7,129.0,cluster_0,Medium,Female,Low
22.0,76.6,26.5,7.5,130.0,cluster_0,Medium,Male,High
23.0,56.6,14.8,7.7,131.0,cluster_1,High,Female,Medium
24.0,58.3,16.4,8.0,132.0,cluster_1,High,Female,Low
24.0,62.0,15.5,4.2,133.0,cluster_1,High,Male,Low
20.0,87.2,5.5,6.9,134.0,cluster_2,Low,Female,Medium
24.0,83.1,23.0,6.8,135.0,cluster_0,Medium,Male,High
21.0,50.5,23.7,5.4,136.0,cluster_1,High,Female,Low
19.0,68.7,20.8,5.7,137.0,cluster_0,Medium,Female,Medium
20.0,85.4,21.0,4.7,138.0,cluster_2,Low,Female,Low
23.0,96.9,29.7,5.2,139.0,cluster_2,Low,Male,Low
19.0,83.6,22.7,4.2,140.0,cluster_2,Low,Female,Low
18.0,93.0,9.7,8.1,141.0,cluster_2,Low,Male,High
24.0,91.3,20.7,4.2,142.0,cluster_2,Low,Female,Medium
24.0,86.9,8.3,7.6,143.0,cluster_2,Low,Female,Medium
22.0,93.1,29.8,6.1,144.0,cluster_2,Low,Male,Medium
18.0,68.7,11.9,5.0,145.0,cluster_0,Medium,Male,Medium
21.0,98.6,18.9,6.9,146.0,cluster_2,Low,Male,Low
22.0,88.0,24.1,8.1,147.0,cluster_2,Low,Female,Medium
21.0,82.4,18.1,6.6,148.0,cluster_0,Medium,Female,Low
22.0,94.4,22.1,6.1,149.0,cluster_2,Low,Female,Medium
19.0,78.0,14.4,5.4,150.0,cluster_0,Medium,Male,High
21.0,61.0,14.5,7.3,151.0,cluster_1,High,Male,Low
21.0,94.2,17.9,4.7,152.0,cluster_2,Low,Male,Low
21.0,67.7,19.6,7.6,153.0,cluster_0,Medium,Male,Low
18.0,99.1,25.5,8.9,154.0,cluster_2,Low,Female,Low
22.0,93.1,25.9,4.6,155.0,cluster_2,Low,Female,Medium
22.0,81.1,8.3,7.8,156.0,cluster_0,Medium,Male,Medium
20.0,61.4,29.6,8.0,157.0,cluster_1,High,Male,Medium
18.0,72.6,20.0,5.7,158.0,cluster_0,Medium,Female,Medium
19.0,89.9,17.2,7.6,159.0,cluster_2,Low,Female,Low
21.0,67.4,26.0,6.3,160.0,cluster_0,Medium,Male,Medium
22.0,77.8,5.4,8.0,161.0,cluster_0,Medium,Female,Low
18.0,86.0,21.7,4.6,162.0,cluster_2,Low,Male,Low
18.0,97.7,20.8,4.1,163.0,cluster_2,Low,Male,High
21.0,58.5,25.2,8.2,164.0,cluster_1,High,Male,Medium
20.0,97.4,23.8,8.5,165.0,cluster_2,Low,Male,Low
24.0,99.6,24.5,8.0,166.0,cluster_2,Low,Male,Medium
23.0,85.1,10.0,6.0,167.0,cluster_2,Low,Male,High
20.0,56.3,27.2,7.0,168.0,cluster_1,High,Male,High
23.0,71.6,11.2,4.7,169.0,cluster_0,Medium,Female,Medium
22.0,78.0,22.4,8.7,170.0,cluster_0,Medium,Female,Low
18.0,96.6,6.4,4.0,171.0,cluster_2,Low,Male,Medium
23.0,73.5,29.9,7.5,172.0,cluster_0,Medium,Female,High
20.0,79.9,20.9,8.6,173.0,cluster_0,Medium,Female,High
20.0,54.8,12.2,8.4,174.0,cluster_1,High,Male,Medium
19.0,77.1,12.4,5.8,175.0,cluster_0,Medium,Female,Medium
24.0,53.4,14.1,7.4,176.0,cluster_1,High,Male,Low
24.0,90.3,18.0,8.9,177.0,cluster_2,Low,Male,Medium
21.0,88.8,21.6,7.0,178.0,cluster_2,Low,Male,Low
22.0,65.3,21.2,6.2,179.0,cluster_1,High,Male,Medium
18.0,75.4,29.1,4.8,180.0,cluster_0,Medium,Male,Low
22.0,87.1,8.3,8.0,181.0,cluster_2,Low,Female,Medium
19.0,57.6,5.8,7.9,182.0,cluster_1,High,Male,Medium
21.0,86.0,15.6,4.4,183.0,cluster_2,Low,Male,Medium
24.0,92.5,10.3,5.2,184.0,cluster_2,Low,Male,Medium
22.0,55.6,10.4,8.1,185.0,cluster_1,High,Male,Medium
22.0,66.5,26.7,6.0,186.0,cluster_0,Medium,Female,Medium
20.0,77.1,13.1,6.4,187.0,cluster_0,Medium,Male,Low
20.0,58.5,15.8,4.4,188.0,cluster_1,High,Female,Low
23.0,86.5,22.1,6.0,189.0,cluster_2,Low,Female,High
24.0,62.7,13.5,4.2,190.0,cluster_1,High,Female,Medium
22.0,50.7,18.9,7.0,191.0,cluster_1,High,Female,Medium
18.0,89.5,11.0,5.9,192.0,cluster_2,Low,Female,Medium
23.0,95.5,11.5,8.8,193.0,cluster_2,Low,Female,Low
24.0,89.9,22.9,7.5,194.0,cluster_2,Low,Male,Medium
19.0,81.1,25.9,8.2,195.0,cluster_0,Medium,Female,Low
19.0,98.9,24.6,8.8,196.0,cluster_2,Low,Female,Low
22.0,69.5,27.3,8.7,197.0,cluster_0,Medium,Male,Medium
18.0,52.2,23.6,6.3,198.0,cluster_1,High,Male,Low
24.0,68.1,12.8,6.3,199.0,cluster_0,Medium,Male,Medium
24.0,50.2,12.6,8.4,200.0,cluster_1,High,Male,Low
22.0,51.7,28.0,7.3,201.0,cluster_1,High,Male,Medium
18.0,57.7,11.0,5.7,202.0,cluster_1,High,Female,Low
20.0,77.3,21.3,4.6,203.0,cluster_0,Medium,Male,Low
18.0,59.3,25.9,5.8,204.0,cluster_1,High,Male,High
22.0,83.0,24.2,5.3,205.0,cluster_0,Medium,Male,Medium
18.0,78.1,6.5,6.6,206.0,cluster_0,Medium,Male,Medium
24.0,93.3,5.5,6.2,207.0,cluster_2,Low,Female,Medium
21.0,89.2,25.8,4.9,208.0,cluster_2,Low,Male,Medium
22.0,100.0,14.0,5.5,209.0,cluster_2,Low,Male,Low
18.0,58.9,24.4,6.4,210.0,cluster_1,High,Male,High
21.0,81.1,7.0,6.4,211.0,cluster_0,Medium,Female,Medium
18.0,85.6,28.3,4.9,212.0,cluster_2,Low,Male,Medium
22.0,54.6,8.7,5.8,213.0,cluster_1,High,Male,Low
23.0,84.6,24.3,4.2,214.0,cluster_2,Low,Female,High
23.0,90.8,17.9,5.1,215.0,cluster_2,Low,Male,Low
20.0,52.0,21.8,7.9,216.0,cluster_1,High,Male,Medium
24.0,64.9,22.4,5.7,217.0,cluster_1,High,Female,Low
23.0,92.7,29.3,5.0,218.0,cluster_2,Low,Female,Medium
21.0,89.0,7.6,8.9,219.0,cluster_2,Low,Male,Low
24.0,82.8,20.1,4.7,220.0,cluster_0,Medium,Female,Medium
23.0,90.2,8.7,8.5,221.0,cluster_2,Low,Female,Medium
24.0,72.7,26.9,4.4,222.0,cluster_0,Medium,Female,High
21.0,93.7,9.3,8.4,223.0,cluster_2,Low,Female,High
21.0,85.2,7.2,7.0,224.0,cluster_2,Low,Female,Low
24.0,62.1,16.2,5.2,225.0,cluster_1,High,Female,Medium
22.0,52.0,5.1,8.5,226.0,cluster_1,High,Female,Low
22.0,64.2,16.1,6.9,227.0,cluster_1,High,Female,Medium
21.0,66.5,9.6,5.0,228.0,cluster_1,High,Male,Medium
23.0,92.2,9.6,6.8,229.0,cluster_2,Low,Male,Medium
18.0,75.4,18.8,4.6,230.0,cluster_0,Medium,Female,Medium
23.0,63.5,21.8,5.5,231.0,cluster_1,High,Female,Low
19.0,99.3,29.9,7.3,232.0,cluster_2,Low,Female,Low
19.0,71.0,15.5,8.0,233.0,cluster_0,Medium,Female,High
24.0,93.7,8.4,6.2,234.0,cluster_2,Low,Female,High
24.0,62.0,14.1,6.2,235.0,cluster_1,High,Male,High
24.0,61.8,28.3,4.0,236.0,cluster_1,High,Female,High
19.0,55.1,5.9,5.1,237.0,cluster_1,High,Female,Low
18.0,81.5,11.3,4.7,238.0,cluster_0,Medium,Male,Low
20.0,94.6,16.0,6.5,239.0,cluster_2,Low,Male,Medium
24.0,99.9,23.0,6.0,240.0,cluster_2,Low,Female,Medium
19.0,87.2,18.2,4.9,241.0,cluster_2,Low,Male,High
21.0,53.3,14.8,5.3,242.0,cluster_1,High,Male,High
22.0,68.5,27.8,6.5,243.0,cluster_0,Medium,Female,Medium
20.0,52.8,21.8,5.8,244.0,cluster_1,High,Male,Low
18.0,90.1,18.2,4.9,245.0,cluster_2,Low,Female,Low
21.0,72.7,8.0,4.7,246.0,cluster_0,Medium,Female,High
23.0,63.5,12.5,4.8,247.0,cluster_1,High,Female,High
23.0,86.8,23.5,5.9,248.0,cluster_2,Low,Male,Low
24.0,53.4,12.5,8.5,249.0,cluster_1,High,Female,Medium
23.0,56.4,17.9,6.5,250.0,cluster_1,High,Female,High
20.0,71.8,10.4,5.1,251.0,cluster_0,Medium,Male,Medium
22.0,90.3,24.0,8.1,252.0,cluster_2,Low,Male,Medium
23.0,95.4,15.3,4.2,253.0,cluster_2,Low,Female,Medium
20.0,62.4,21.5,7.7,254.0,cluster_1,High,Female,Medium
22.0,53.3,10.8,8.7,255.0,cluster_1,High,Male,Low
18.0,83.4,27.6,4.9,256.0,cluster_0,Medium,Female,Medium
21.0,67.3,19.5,8.7,257.0,cluster_0,Medium,Male,Medium
19.0,60.9,8.3,8.5,258.0,cluster_1,High,Male,High
20.0,62.2,12.4,8.6,259.0,cluster_1,High,Male,Low
20.0,53.6,27.2,5.8,260.0,cluster_1,High,Male,Low
18.0,99.1,16.1,5.9,261.0,cluster_2,Low,Male,Medium
21.0,84.5,19.7,8.1,262.0,cluster_2,Low,Male,Medium
24.0,82.6,25.7,5.6,263.0,cluster_0,Medium,Male,Medium
24.0,56.3,17.4,6.9,264.0,cluster_1,High,Female,Medium
24.0,88.6,15.4,4.7,265.0,cluster_2,Low,Male,Low
24.0,63.6,23.0,6.2,266.0,cluster_1,High,Female,Medium
19.0,95.6,15.4,4.3,267.0,cluster_2,Low,Female,Medium
23.0,50.4,6.8,5.7,268.0,cluster_1,High,Female,Low
22.0,94.9,8.0,6.9,269.0,cluster_2,Low,Male,High
20.0,70.3,24.2,4.3,270.0,cluster_0,Medium,Male,Low
20.0,83.4,25.7,7.5,271.0,cluster_0,Medium,Female,Low
20.0,55.8,28.5,7.8,272.0,cluster_1,High,Female,High
24.0,54.0,19.2,8.2,273.0,cluster_1,High,Female,Medium
20.0,97.0,5.9,5.3,274.0,cluster_2,Low,Male,Medium
22.0,61.2,29.1,6.3,275.0,cluster_1,High,Male,High
21.0,89.9,23.5,7.0,276.0,cluster_2,Low,Male,Low
18.0,59.1,11.4,7.5,277.0,cluster_1,High,Male,Medium
18.0,73.2,29.3,8.5,278.0,cluster_0,Medium,Male,Medium
18.0,75.8,7.7,6.6,279.0,cluster_0,Medium,Male,Medium
22.0,83.1,13.8,8.4,280.0,cluster_0,Medium,Female,Low
24.0,54.5,28.9,8.8,281.0,cluster_1,High,Male,Medium
19.0,73.9,12.8,9.0,282.0,cluster_0,Medium,Female,Low
21.0,53.3,29.2,9.0,283.0,cluster_1,High,Female,High
22.0,89.8,25.1,6.0,284.0,cluster_2,Low,Female,High
18.0,98.9,20.3,7.9,285.0,cluster_2,Low,Male,High
19.0,50.1,22.4,8.6,286.0,cluster_1,High,Female,Medium
18.0,55.5,25.8,7.9,287.0,cluster_1,High,Male,Low
18.0,84.1,28.6,7.1,288.0,cluster_2,Low,Male,Medium
21.0,96.1,14.8,8.6,289.0,cluster_2,Low,Male,Low
24.0,76.8,14.1,7.6,290.0,cluster_0,Medium,Female,Low
22.0,96.4,9.7,8.1,291.0,cluster_2,Low,Male,Low
22.0,67.3,24.9,6.5,292.0,cluster_0,Medium,Male,Low
19.0,64.5,8.4,5.9,293.0,cluster_1,High,Female,Low
22.0,65.0,12.2,5.5,294.0,cluster_1,High,Female,Low
20.0,72.0,19.4,7.8,295.0,cluster_0,Medium,Female,High
23.0,93.1,17.3,8.4,296.0,cluster_2,Low,Female,Low
21.0,57.8,14.6,8.0,297.0,cluster_1,High,Male,Low
19.0,55.4,15.6,7.4,298.0,cluster_1,High,Female,Low
22.0,71.1,9.6,6.7,299.0,cluster_0,Medium,Female,High
24.0,82.4,12.2,5.9,300.0,cluster_0,Medium,Female,Medium
18.0,74.4,17.9,7.7,301.0,cluster_0,Medium,Female,Medium
21.0,86.8,12.2,5.0,302.0,cluster_2,Low,Female,Medium
20.0,55.6,18.9,7.7,303.0,cluster_1,High,Male,Low
21.0,81.3,8.2,5.5,304.0,cluster_0,Medium,Female,High
18.0,51.2,9.1,4.1,305.0,cluster_1,High,Male,High
20.0,99.9,19.1,6.4,306.0,cluster_2,Low,Male,Low
24.0,59.9,8.7,5.1,307.0,cluster_1,High,Female,High
21.0,68.0,12.4,6.5,308.0,cluster_0,Medium,Male,Medium
21.0,76.6,10.5,4.1,309.0,cluster_0,Medium,Male,Low
23.0,56.2,17.4,4.8,310.0,cluster_1,High,Female,High
24.0,69.7,14.4,5.8,311.0,cluster_0,Medium,Male,Low
24.0,53.9,20.1,6.3,312.0,cluster_1,High,Male,Medium
19.0,77.0,19.0,7.3,313.0,cluster_0,Medium,Female,Medium
20.0,55.6,13.8,6.0,314.0,cluster_1,High,Male,Medium
23.0,52.0,14.4,5.5,315.0,cluster_1,High,Female,Low
20.0,90.9,15.5,4.3,316.0,cluster_2,Low,Female,Medium
19.0,66.5,14.8,6.6,317.0,cluster_1,High,Male,Medium
20.0,52.2,24.5,8.0,318.0,cluster_1,High,Female,Low
20.0,71.0,28.3,7.8,319.0,cluster_0,Medium,Female,Medium
24.0,66.7,24.7,5.9,320.0,cluster_0,Medium,Male,Medium
23.0,63.2,8.1,4.3,321.0,cluster_1,High,Male,High
24.0,61.2,15.2,4.2,322.0,cluster_1,High,Female,High
19.0,96.9,24.5,4.9,323.0,cluster_2,Low,Female,Low
19.0,68.6,18.3,5.1,324.0,cluster_0,Medium,Male,Medium
21.0,66.2,19.3,6.9,325.0,cluster_1,High,Female,Low
18.0,64.6,21.3,6.8,326.0,cluster_1,High,Male,Medium
18.0,82.6,8.4,6.8,327.0,cluster_0,Medium,Female,Low
19.0,76.0,20.4,4.5,328.0,cluster_0,Medium,Female,High
22.0,70.7,6.4,4.6,329.0,cluster_0,Medium,Female,Low
19.0,84.8,9.4,5.8,330.0,cluster_2,Low,Male,High
21.0,68.7,23.4,4.4,331.0,cluster_0,Medium,Male,Low
22.0,88.8,27.5,4.0,332.0,cluster_2,Low,Female,High
20.0,97.9,9.2,4.6,333.0,cluster_2,Low,Male,Medium
21.0,84.5,23.4,8.7,334.0,cluster_2,Low,Male,High
20.0,70.4,8.7,6.6,335.0,cluster_0,Medium,Male,Low
21.0,93.9,18.4,6.8,336.0,cluster_2,Low,Female,Medium
19.0,74.1,24.0,4.4,337.0,cluster_0,Medium,Female,Medium
18.0,80.5,15.5,5.5,338.0,cluster_0,Medium,Male,Medium
19.0,83.4,16.8,8.2,339.0,cluster_2,Low,Male,Medium
22.0,74.3,21.6,8.4,340.0,cluster_0,Medium,Male,Medium
21.0,52.8,27.2,4.7,341.0,cluster_1,High,Female,Medium
21.0,72.4,21.7,8.1,342.0,cluster_0,Medium,Male,Low
19.0,71.1,8.7,7.0,343.0,cluster_0,Medium,Female,Medium
20.0,89.0,12.6,6.0,344.0,cluster_2,Low,Female,Low
20.0,89.2,13.4,4.3,345.0,cluster_2,Low,Male,High
19.0,86.1,15.3,6.4,346.0,cluster_2,Low,Male,High
24.0,97.3,15.2,6.3,347.0,cluster_2,Low,Male,Low
22.0,95.2,9.4,6.2,348.0,cluster_2,Low,Male,High
18.0,76.1,21.5,8.0,349.0,cluster_0,Medium,Female,Medium
24.0,65.1,27.3,4.8,350.0,cluster_1,High,Female,Low
24.0,60.9,8.8,7.3,351.0,cluster_1,High,Female,Medium
24.0,76.3,28.9,4.6,352.0,cluster_0,Medium,Male,Low
23.0,84.3,5.4,7.7,353.0,cluster_2,Low,Female,High
19.0,56.9,23.4,7.5,354.0,cluster_1,High,Male,Medium
21.0,65.6,24.4,6.4,355.0,cluster_1,High,Male,Low
19.0,51.5,9.7,6.4,356.0,cluster_1,High,Female,Low
20.0,56.4,12.5,6.2,357.0,cluster_1,High,Male,Medium
24.0,65.1,14.9,5.3,358.0,cluster_1,High,Female,Low
24.0,77.7,24.4,4.8,359.0,cluster_0,Medium,Female,Low
24.0,88.1,14.7,5.4,360.0,cluster_2,Low,Female,Medium
20.0,70.6,28.0,6.4,361.0,cluster_0,Medium,Male,High
21.0,55.3,15.1,4.9,362.0,cluster_1,High,Female,Medium
21.0,64.4,26.0,8.6,363.0,cluster_1,High,Female,Low
20.0,89.3,16.9,5.6,364.0,cluster_2,Low,Female,Medium
22.0,67.7,17.0,5.9,365.0,cluster_0,Medium,Male,Medium
21.0,91.9,6.8,5.3,366.0,cluster_2,Low,Male,Low
22.0,93.0,13.3,5.2,367.0,cluster_2,Low,Female,Low
22.0,94.1,22.1,5.4,368.0,cluster_2,Low,Male,Medium
20.0,63.8,6.5,5.1,369.0,cluster_1,High,Male,Medium
20.0,56.7,11.9,6.2,370.0,cluster_1,High,Female,Low
24.0,55.2,7.8,7.8,371.0,cluster_1,High,Female,Low
23.0,98.1,28.8,8.3,372.0,cluster_2,Low,Female,Low
19.0,93.4,23.7,7.6,373.0,cluster_2,Low,Female,Low
21.0,63.4,28.2,4.7,374.0,cluster_1,High,Male,High
21.0,89.4,11.3,6.6,375.0,cluster_2,Low,Male,Medium
23.0,63.5,9.0,8.4,376.0,cluster_1,High,Female,Low
23.0,63.4,9.7,4.1,377.0,cluster_1,High,Male,Medium
24.0,83.5,12.8,7.9,378.0,cluster_2,Low,Female,High
18.0,91.1,23.2,5.2,379.0,cluster_2,Low,Female,High
21.0,84.6,27.1,7.9,380.0,cluster_2,Low,Male,Low
19.0,55.9,16.5,4.7,381.0,cluster_1,High,Male,Medium
19.0,97.8,18.3,8.0,382.0,cluster_2,Low,Male,Medium
18.0,85.4,16.5,8.6,383.0,cluster_2,Low,Male,Low
19.0,90.7,24.4,5.6,384.0,cluster_2,Low,Female,Medium
20.0,89.4,14.7,7.0,385.0,cluster_2,Low,Female,High
20.0,75.3,20.7,8.7,386.0,cluster_0,Medium,Female,Low
21.0,93.6,20.1,6.3,387.0,cluster_2,Low,Female,Low
21.0,62.3,26.6,7.4,388.0,cluster_1,High,Male,Low
20.0,65.4,11.1,8.4,389.0,cluster_1,High,Male,Low
18.0,50.4,8.0,8.3,390.0,cluster_1,High,Female,Medium
21.0,68.5,29.0,5.7,391.0,cluster_0,Medium,Male,Medium
18.0,64.7,7.0,4.1,392.0,cluster_1,High,Male,Low
22.0,61.0,29.6,7.3,393.0,cluster_1,High,Female,Low
20.0,79.0,8.9,5.8,394.0,cluster_0,Medium,Male,Low
