Gender,Age,Department,Attendance (%),Midterm_Score,Final_Score,Assignments_Avg,Quizzes_Avg,Participation_Score,Projects_Score,Total_Score,Grade,Study_Hours_per_Week,Extracurricular_Activities,Internet_Access_at_Home,Parent_Education_Level,Family_Income_Level,Stress_Level (1-10),Sleep_Hours_per_Night
Female,22,Mathematics,99.64,84.62,59.93,60.36,78.78,4.26,98.85,68.32,A,21.2,Yes,Yes,PhD,Medium,5,8.9
Male,22,CS,81.13,63.7,74.72,92.44,55.52,5.13,64.51,74.92,F,19.4,No,Yes,Bachelor's,Medium,4,8.6
Male,20,Engineering,51.79,45.72,54.4,71.05,67.6,8.3,70.46,81.75,C,10,No,Yes,Master's,Low,10,7.6
Male,22,Business,83.68,62.71,82.79,73.01,82.07,5.78,70.77,93.44,B,29.7,No,Yes,High School,Medium,8,5.4
Male,18,Business,95.81,60.27,75.93,78.31,65.38,0.3,89.27,83.44,B,20.5,No,Yes,Bachelor's,Low,9,6.5
Male,23,Engineering,90.65,59.79,80.89,98.35,56.07,3.2,77.42,94.16,A,10,No,Yes,PhD,Low,5,7.9
Male,21,CS,62.93,88.41,73.75,50.28,73.89,8.85,80.31,77.26,B,12.7,No,Yes,High School,High,1,4.9
Female,23,CS,66.28,56.54,76.04,56.74,97.26,7.86,79.19,91.58,C,21.5,No,Yes,High School,Low,5,6.7
Female,21,Engineering,61.81,59.82,74.47,53.81,66.48,6.84,74.76,62.98,B,17.8,Yes,No,PhD,Low,1,6.8
Male,21,CS,95.42,64.86,44.91,55.06,82.91,0.65,90.1,56.19,A,19.8,Yes,Yes,Bachelor's,High,4,7.3
Male,22,Mathematics,81.64,47.73,53.72,76.28,94.96,4.13,55.7,65.97,F,19.2,Yes,Yes,PhD,Medium,7,7.4
Male,20,CS,81.55,88.87,91.6,94.11,96.51,5.36,71.25,90.99,D,16.9,Yes,Yes,Bachelor's,High,2,4.1
Male,23,Engineering,69.29,89.16,41.39,80.77,59.24,9.43,51.32,89.36,A,24.8,No,Yes,Master's,Medium,7,4.7
Male,24,CS,66.98,87.9,55.08,74.81,84.75,6.95,94.17,91.88,A,14.9,No,Yes,Bachelor's,Low,3,4.2
Female,23,CS,75.725,87.98,42.12,70.51,55.98,1.61,77.46,72.43,D,10.8,No,Yes,Master's,Low,1,5.4
Male,20,CS,57.47,47.48,99.31,71.92,61.2,4.6,77.66,69.53,D,29.2,No,Yes,Master's,Medium,10,4.4
Male,18,CS,81.43,73.14,47.1,91.9,82.48,1.07,97.77,79.86,C,11.9,No,Yes,Master's,Medium,4,9
Female,20,Engineering,95.73,92.5,76.11,95.01,87.32,0.57,65.35,68.76,B,9.6,Yes,Yes,PhD,Medium,10,4.3
Female,21,Engineering,75.725,99.36,99.07,73.48,83.84,3.77,62.91,50.27,C,26.8,No,Yes,PhD,High,2,8.2
Female,23,Mathematics,75.725,76.64,57.51,61.99,96.23,3.62,72.4,88.34,F,8,No,Yes,Bachelor's,Medium,8,6.4
Female,20,Mathematics,59.69,76.77,90.88,97.26,57.28,6.74,81,70.84,C,21.1,No,Yes,PhD,Medium,10,7.1
Female,20,CS,97.61,58.46,95.58,54.63,93.39,2.17,95.42,99.99,A,26.9,Yes,Yes,High School,Medium,10,5.2
Female,24,Engineering,71.49,53.93,75.31,82.01,67.23,9.69,90.17,85.68,D,9.7,No,Yes,PhD,Medium,2,8.6
Female,22,Engineering,86.45,50.03,58.56,87.27,61.6,8.58,59.93,72.76,A,9.6,No,Yes,High School,Low,9,6.4
Male,23,Mathematics,79.72,60.69,90.69,53.38,74.34,5,76.21,50.66,D,26.5,Yes,Yes,High School,Medium,8,7.9
Female,19,Engineering,94.19,48.1,50.28,57.66,91.72,6.74,55.76,50.47,A,11.8,No,Yes,High School,Medium,2,6.6
Female,22,CS,97.94,61.52,59.15,71.03,56.47,10,58.37,99.11,B,26.7,No,Yes,PhD,Low,3,6.3
Male,22,CS,88.66,97.91,57,57.87,91.16,5.19,90.87,63.62,B,6.4,No,Yes,Master's,Medium,8,7.4
Male,19,Mathematics,95.3,81.88,91.65,92.73,91.23,9.1,73.52,84.14,A,7.1,No,No,Master's,Medium,1,5.5
Female,23,CS,61.73,71.85,65.3,78.9,69.45,9.67,78.31,58.61,F,25.5,No,Yes,Master's,Low,9,8.6
Male,24,Engineering,59.88,98.13,60.34,68.41,55.5,5.82,59.33,65.58,F,25.4,No,Yes,High School,Low,6,8.2
Female,21,Business,85.34,70.72,53.16,79.55,82.78,5.73,81.56,94.04,A,6,No,Yes,PhD,Medium,3,4.3
Female,24,Business,59.35,64.26,71.22,87.16,74.18,7.89,69.3,61.52,D,16.3,Yes,Yes,Bachelor's,Medium,8,6.1
Male,22,Engineering,59.42,54.86,57.94,68.17,52.32,9.91,67.61,64.31,D,13.7,No,Yes,Bachelor's,Medium,4,5.4
Female,21,Engineering,98.51,79.54,89,65.39,51.19,1.91,71.59,98.14,B,25.2,No,Yes,PhD,Low,7,6.6
Male,23,CS,67.23,81.16,91.08,61.13,75.62,8.71,95.88,62.38,B,7.6,No,Yes,Bachelor's,Medium,2,4.6
Female,20,CS,67.5,41.34,54.13,73.53,68.85,1.46,94.13,99.78,C,29.3,Yes,Yes,High School,Low,1,6.4
Male,20,CS,50.07,51.46,64.52,95.28,68.21,9.6,73.87,94.78,D,5.5,Yes,Yes,Master's,Medium,7,6.3
Female,21,CS,75.725,77.95,95.93,52.68,70.11,6.95,76.29,79,B,9.1,No,Yes,High School,Low,9,7.2
Male,24,CS,87.59,73.13,94.18,54.18,51.15,3.99,67.06,67.57,B,15.5,No,Yes,High School,High,2,6.8
Male,19,CS,50.8,99.88,94.47,66.61,65.66,7.55,85.53,54.01,D,18.7,Yes,Yes,PhD,High,3,8.5
Male,21,CS,78.12,90.31,95.87,64.02,58.16,8.35,96.31,95.53,D,9.8,Yes,Yes,PhD,Medium,5,8.5
Female,24,Business,56.19,73.45,43.11,86.82,78.87,7.81,88.18,73.03,C,11.6,No,Yes,Bachelor's,High,5,5.5
Male,20,CS,87.77,80.89,73.85,97.75,63.55,7.58,54.37,65.37,A,13,No,Yes,Bachelor's,High,1,5.7
Male,18,CS,50.48,96.26,63.43,86.22,81.07,2.1,74.52,93.31,D,22.1,No,Yes,PhD,Low,3,4.3
Male,20,Engineering,97.95,52.71,77.9,84.74,86.99,7.92,97.82,69.16,A,24.5,Yes,No,Master's,Low,6,7.9
Female,24,Engineering,73.41,56.72,46.66,61.14,87.81,5.51,87.05,61.5,C,13.1,Yes,Yes,PhD,High,4,5.5
Female,21,CS,99.15,48.94,50.22,94.15,74.11,9.96,78.14,97.38,A,14.2,No,Yes,PhD,High,4,8.3
Male,21,Mathematics,79.18,64.39,42,74.81,89.38,2.93,85.69,83.79,D,25.5,No,Yes,Master's,Medium,10,5.4
Female,24,Engineering,92.17,92.5,60.26,61.44,57.61,6.59,96.75,83.41,A,27.2,No,Yes,Master's,Low,4,7
Male,23,Business,75.725,73.46,65.85,95.6,83.23,1.09,80.61,69.69,F,9.7,Yes,Yes,PhD,Medium,10,7.5
Female,20,CS,88.81,87.59,69.78,80.35,99.5,8.21,68.29,51.5,A,23.4,No,Yes,PhD,Medium,5,4.6
Female,20,CS,50.84,67.33,59.84,65.62,66.24,0.46,81.41,53.3,D,16.6,No,Yes,Bachelor's,Medium,5,8.2
Female,22,Mathematics,62.72,86.41,53.97,83.34,79.55,3.7,93.99,92.26,B,24.5,Yes,Yes,PhD,Medium,9,6.8
Female,18,CS,71.6,80.47,58.88,55.68,55.33,2.73,78.35,96.25,D,28.7,No,Yes,Bachelor's,High,9,7.2
Female,24,Mathematics,79.4,71.72,44.76,75.77,51.79,3.01,86.67,55.17,F,27.5,No,Yes,Bachelor's,Low,7,6.7
Male,23,CS,87.81,90.41,59.55,92.57,71.22,7.78,83.05,67.08,A,16.6,No,Yes,Bachelor's,Medium,3,8.7
Female,22,Engineering,71.01,44.7,51.22,55.22,93.69,2.91,86.27,56.82,C,26,No,Yes,PhD,Low,1,4.5
Male,18,Mathematics,54.41,73.37,50.79,53.72,81.65,3.05,70.38,77.82,C,19.7,No,Yes,High School,Low,3,7.6
Male,21,Engineering,60.1,78.35,65.49,75.35,93.05,5.54,97.04,67.65,A,13.8,No,Yes,PhD,Medium,3,6.5
Male,23,Business,57.73,52.68,85.27,94.24,79.71,3.02,98.54,99.96,C,23.3,No,Yes,PhD,Low,5,6.1
Female,24,Engineering,53.66,50.14,53,91.29,59.65,1.69,84.13,66.34,D,13.4,No,Yes,High School,High,7,8.6
Female,20,Business,79.99,85.08,85.4,90.37,70.87,1.79,53.75,82.88,B,29.3,No,Yes,Bachelor's,Low,1,4.3
Male,21,Engineering,72.34,46.88,73.23,86.68,68.86,0.28,66.96,54.37,A,20.4,No,Yes,PhD,High,8,7.1
Male,24,Engineering,75.81,73.92,59.66,56.49,56.46,0.41,93.23,76.15,D,7.4,Yes,Yes,Bachelor's,Low,8,8.5
Male,24,CS,93.66,73.11,52.34,69.86,56.45,4.78,94.69,68.76,A,29.2,No,Yes,High School,Medium,1,8
Female,18,Engineering,86.65,89.62,44.21,93.49,84.52,7.2,95.16,85.3,B,16.4,No,Yes,High School,High,1,6.7
Female,22,Business,83.61,40.26,50.63,74.81,62.59,3.65,72.55,98.64,A,11.3,No,Yes,Bachelor's,Medium,7,8.1
Male,18,Engineering,50.88,53.03,46.46,97.56,65.1,1.54,60.55,88.34,D,27.5,No,Yes,Bachelor's,Medium,2,8.3
Male,21,CS,62.57,84.61,99.13,72.5,75.31,0.78,64.74,76.45,C,12.7,No,Yes,Master's,Low,1,8.6
Male,19,Engineering,80.84,89.89,65.39,83.45,99,0.1,96.76,83.35,A,11.4,Yes,Yes,Master's,Low,6,8.8
Female,23,CS,74.12,49.15,52.8,90.17,85.03,5.24,82.25,85.38,C,23.4,No,Yes,PhD,High,9,7.2
Female,21,CS,84.52,80.66,85.13,74.81,70.34,0.98,84.42,85.86,A,7.5,Yes,Yes,High School,Low,9,4.4
Female,23,CS,75.725,90.88,78.27,58.44,75.54,1.04,86.4,88.6,C,6.2,Yes,Yes,Bachelor's,High,5,6.6
Male,23,Engineering,97.55,83.38,72.57,99.13,84.05,1.76,57.1,96.97,A,29.6,Yes,Yes,Master's,Low,10,8.7
Female,21,Engineering,75.725,99.8,41.16,78.62,93.51,3.52,95.63,62.82,A,26,No,Yes,High School,High,7,7.6
Female,24,Business,71.52,45.66,69.9,97.77,50.9,1.98,59.58,63.59,B,9.7,No,No,Master's,Medium,5,7.4
Male,18,Business,93.97,57.48,72.48,91.81,57.51,7.09,56.04,63.69,A,17.6,Yes,Yes,PhD,Medium,3,8.7
Female,20,CS,61.93,91.43,77.97,55.09,58.79,3.92,60.9,96.39,A,8.9,Yes,No,PhD,High,7,8.8
Male,24,Engineering,59.96,84,83.36,80.78,69.71,8.65,75.25,85.98,C,14.2,No,Yes,Bachelor's,Low,3,4.1
Male,24,CS,97.53,79.99,42.15,62.03,78.17,3.28,75.91,79.45,A,20.7,No,Yes,High School,Medium,1,4
Male,19,CS,85.41,83.97,99.98,69.69,63.54,8.5,84.98,66.34,A,11.1,No,No,Master's,Low,2,6.8
Female,23,Engineering,72.4,70.88,82.29,65.85,90.13,8.82,64.38,72.97,F,16.6,Yes,No,Bachelor's,Medium,3,8.8
Female,18,Engineering,78.2,41.1,63.71,74.81,68.23,3.05,97.67,77.04,F,18,Yes,No,Master's,Medium,7,4.3
Female,24,Business,78.42,69.4,43.5,91.36,51.74,6.04,88.32,88.81,A,15.6,No,Yes,High School,Low,6,8.7
Male,18,Engineering,67.25,72.57,88.07,54.32,72,0.54,98.1,71.31,C,20.8,No,Yes,PhD,Low,8,4.6
Female,24,CS,62.89,52.08,55.39,84.4,82.99,2.79,84.62,83.38,D,19.4,No,Yes,Master's,High,7,4.1
Female,23,Mathematics,62.25,69.1,55.07,76.28,67.77,1.44,75.37,66.73,D,17,No,Yes,High School,High,10,6.6
Male,20,Engineering,85.74,76.45,76.97,93.8,57.3,9.41,95.13,84.63,A,14.5,Yes,Yes,Bachelor's,Medium,4,6.5
Female,22,Business,76.07,49.61,88.9,74.93,98.19,1.21,69.03,79.54,C,21,Yes,Yes,PhD,High,2,4.6
Female,23,CS,84.16,86.71,67.14,61.09,50.7,6.74,75.93,78.34,C,26.4,No,Yes,PhD,Low,8,5.7
Male,22,Engineering,70.34,48.76,74.45,61.35,97.15,3,58.57,76.63,F,26.5,Yes,Yes,Bachelor's,High,5,7.5
Female,23,CS,54.08,85.82,59.63,67.58,91.46,8.15,71.66,56.59,D,14.8,Yes,Yes,Master's,Medium,8,7.7
Female,24,CS,72.2,73.5,47.01,96.78,51.26,2.15,52.72,58.34,C,16.4,No,Yes,Bachelor's,Low,9,8
Male,24,CS,64.54,95.22,64.51,58.39,99.94,5.08,57.32,62.03,D,15.5,No,Yes,Master's,Low,8,4.2
Female,20,Engineering,85.77,92.8,45.89,74.67,81.98,5.21,50.32,87.22,B,5.5,No,Yes,PhD,Medium,4,6.9
Male,24,Engineering,63,61.56,41.71,51.82,93.72,9.5,89.8,83.05,D,23,Yes,Yes,PhD,High,1,6.8
Female,21,Engineering,83.06,56.05,76.47,60.76,87.47,7.6,72.05,50.49,F,23.7,Yes,Yes,Master's,Low,10,5.4
Female,19,CS,73.31,87.85,44.38,91.5,65.99,2.84,92.97,68.73,F,20.8,No,Yes,PhD,Medium,3,5.7
Female,20,CS,69.74,68.53,94.48,56.77,55.33,8.04,63.66,85.44,D,21,Yes,Yes,PhD,Low,10,4.7
Male,23,CS,57.84,82.08,59.86,74.81,71.06,2.76,58.92,96.87,C,29.7,No,Yes,Master's,Low,9,5.2
Female,19,Engineering,75.725,71.1,82.54,83.78,58.93,3.73,52.18,83.6,A,22.7,No,Yes,Master's,Low,1,4.2
Male,18,Business,96.89,58.03,98.85,56.88,87.5,7.62,78.18,93.03,A,9.7,No,Yes,PhD,High,8,8.1
Female,24,CS,95.33,92.19,47.15,73.44,62.79,5.84,88.34,91.25,A,20.7,Yes,Yes,PhD,Medium,8,4.2
Female,24,Business,70.43,62.6,96.76,59.78,73.75,5.07,92.23,86.92,B,8.3,No,Yes,Master's,Medium,2,7.6
Male,22,CS,51.08,46.25,96.03,87.15,54.08,4.45,75.5,93.06,D,29.8,No,Yes,Master's,Medium,7,6.1
Male,18,CS,99.43,41.94,77.52,94.76,77.95,9.05,71.06,68.7,B,11.9,No,Yes,Master's,Medium,5,5
Male,21,CS,87.67,78.14,60.32,76.75,76.96,3.68,50.67,98.62,A,18.9,Yes,Yes,Bachelor's,Low,7,6.9
Female,22,Mathematics,62.29,79.76,49,85.68,75.14,8.53,94.93,87.99,D,24.1,No,Yes,High School,Medium,7,8.1
Female,21,CS,52.16,83.21,68.63,52,73.03,7.04,88.34,82.4,D,18.1,No,Yes,PhD,Low,5,6.6
Female,22,CS,84.87,74.51,60.98,74.81,54.87,5.79,97.05,94.39,F,22.1,No,Yes,Bachelor's,Medium,9,6.1
Male,19,CS,74.07,41.09,49.53,97.18,62.25,3.94,87.98,77.96,D,14.4,Yes,Yes,PhD,High,3,5.4
Male,21,Engineering,58.46,61.99,99.95,74.81,60.55,6.54,67.05,61.04,F,14.5,No,Yes,High School,Low,6,7.3
Male,21,CS,86.47,83.73,57.71,74.81,86.77,4.66,78.18,94.19,B,17.9,No,No,High School,Low,7,4.7
Male,21,Business,61.88,65.63,64.33,65.91,90.93,5.93,63.51,67.65,B,19.6,No,No,Bachelor's,Low,1,7.6
Female,18,CS,78.37,43.96,78.51,83.74,65.26,4.61,79.97,99.09,B,25.5,No,Yes,High School,Low,8,8.9
Female,22,Mathematics,64.25,78.92,62.12,74.81,92.2,5.56,62.17,93.06,B,25.9,Yes,Yes,Bachelor's,Medium,5,4.6
Male,22,Engineering,75.725,97.89,93.9,91.11,81.2,4.93,94.99,81.13,B,8.3,No,Yes,PhD,Medium,5,7.8
Male,20,CS,58.96,70.41,53.67,74.81,85.68,3.11,74.75,61.39,D,29.6,No,Yes,Bachelor's,Medium,8,8
Female,18,Engineering,54.11,59.1,78.62,84.32,67.23,8.84,51.72,72.6,C,20,No,Yes,Bachelor's,Medium,7,5.7
Female,19,Business,68.68,74.46,47.76,50.04,99.55,3.85,68.45,89.88,C,17.2,Yes,Yes,High School,Low,5,7.6
Male,21,Business,87.05,69.91,67.66,69.29,66.23,0.73,52.9,67.36,A,26,No,Yes,PhD,Medium,1,6.3
Female,22,Engineering,68.62,66.95,98.27,81.29,96.53,2,72.13,77.78,A,5.4,No,No,High School,Low,2,8
Male,18,Engineering,71.59,83.06,54.67,86.23,73,9.69,78.73,85.99,C,21.7,No,Yes,Master's,Low,3,4.6
Male,18,CS,69.11,93.68,75.71,79.59,89.16,1.91,56.4,97.74,A,20.8,No,Yes,Bachelor's,High,10,4.1
Male,21,CS,98.31,77.08,97.45,74.81,81.36,5.16,58.8,58.47,A,25.2,No,Yes,PhD,Medium,3,8.2
Male,20,Engineering,75.52,43.17,64.32,62.63,88.03,5.65,87.28,97.37,C,23.8,Yes,Yes,Master's,Low,7,8.5
Male,24,Engineering,65.11,46.61,82.1,63.35,55.26,3.65,61.3,99.56,F,24.5,No,Yes,PhD,Medium,1,8
Male,23,Mathematics,51.54,80.18,71.45,61.53,62.24,1.56,77.89,85.07,D,10,Yes,Yes,PhD,High,4,6
Male,20,Engineering,75.725,84.29,92.05,56.48,78.02,8.78,66.53,56.31,C,27.2,No,Yes,PhD,High,3,7
Female,23,CS,66.91,55.7,62.89,74.18,70.61,2.33,86.16,71.62,F,11.2,No,Yes,PhD,Medium,8,4.7
Female,22,CS,75.725,95.49,47.66,57.3,66.84,3.34,85.63,77.99,F,22.4,Yes,Yes,Bachelor's,Low,2,8.7
Male,18,CS,64.81,50.77,88.98,73.26,82.78,8.47,63.45,96.59,B,6.4,Yes,No,PhD,Medium,5,4
Female,23,Business,85.7,47.81,83.72,97.89,59.61,0.13,70.07,73.52,B,29.9,No,Yes,Master's,High,3,7.5
Female,20,Engineering,64.37,78.82,87.04,66.19,75.71,2.67,79.1,79.94,A,20.9,No,Yes,Master's,High,4,8.6
Male,20,Business,68.45,55.74,45.01,89.74,58.61,4.94,50.85,54.75,D,12.2,Yes,Yes,Bachelor's,Medium,8,8.4
Female,19,Business,79.61,93.08,71.82,62.72,66.78,6.61,72.8,77.09,D,12.4,Yes,Yes,High School,Medium,1,5.8
Male,24,CS,60.74,79.97,60.39,93.11,74.97,2.81,98.04,53.35,C,14.1,Yes,Yes,Master's,Low,2,7.4
Male,24,CS,75.725,43.56,41.63,78.37,60.64,5.38,64.06,90.26,A,18,No,Yes,Master's,Medium,7,8.9
Male,21,Business,81.26,50.25,57.01,70.06,66.49,6.7,58.52,88.77,A,21.6,Yes,Yes,PhD,Low,7,7
Male,22,CS,74.52,62.34,80.17,81.98,61.8,6.2,55.84,65.29,F,21.2,No,Yes,Bachelor's,Medium,8,6.2
Male,18,Business,93.63,76.02,48.49,73.66,99.66,0.79,72.62,75.35,B,29.1,Yes,Yes,High School,Low,2,4.8
Female,22,Engineering,77.35,68.94,84.15,51.06,69.36,7.48,79.04,87.06,B,8.3,No,Yes,High School,Medium,10,8
Male,19,CS,74.04,51.92,78.74,90.72,97.03,5.22,91.01,57.63,A,5.8,No,Yes,High School,Medium,1,7.9
Male,21,Business,75.725,47.39,94.67,73.2,60.2,5.59,88.71,86.02,F,15.6,Yes,Yes,Master's,Medium,3,4.4
Male,24,Business,55.58,91.78,57,79,55.96,5.95,61.07,92.5,D,10.3,Yes,Yes,PhD,Medium,2,5.2
Male,22,Engineering,58.89,41.89,41.64,85.28,92.78,9.2,87.4,55.58,C,10.4,No,Yes,Master's,Medium,3,8.1
Female,22,CS,89.36,98.62,79.32,70.54,51.6,7.42,76.86,66.48,A,26.7,No,No,PhD,Medium,4,6
Male,20,CS,91.79,51.91,76.17,86.78,98.22,3.02,72.54,77.08,A,13.1,No,Yes,Bachelor's,Low,5,6.4
Female,20,Business,75.725,40.86,68.66,86.11,64.79,5.4,60.53,58.49,C,15.8,Yes,Yes,High School,Low,2,4.4
Female,23,Engineering,77.72,74.62,47.36,82.67,62.37,8.53,85.1,86.5,B,22.1,No,Yes,High School,High,10,6
Female,24,Business,81.6,44.8,75.08,91.32,80.87,8.46,84.08,62.66,C,13.5,No,Yes,High School,Medium,4,4.2
Female,22,CS,71.96,76.15,94.71,94.47,56.65,1.75,50.59,50.69,C,18.9,Yes,Yes,PhD,Medium,8,7
Female,18,Engineering,76.72,95,97.54,92.73,74.22,1.49,54.35,89.47,A,11,No,Yes,High School,Medium,6,5.9
Female,23,Engineering,55.42,42.87,49.09,65.64,91.39,7.12,89.67,95.46,D,11.5,No,Yes,Bachelor's,Low,7,8.8
Male,24,Engineering,98.06,87.99,63.07,58.17,71.23,7.23,64.95,89.88,A,22.9,Yes,No,PhD,Medium,4,7.5
Female,19,Mathematics,87.51,63.67,42.59,67.28,75.91,1.77,64.61,81.12,B,25.9,No,Yes,High School,Low,7,8.2
Female,19,CS,81.56,49.57,68.16,77,58.83,6.68,52.67,98.88,D,24.6,Yes,Yes,PhD,Low,5,8.8
Male,22,Engineering,69.13,42.34,95.93,89.47,89.13,4.99,67.44,69.54,D,27.3,No,Yes,Bachelor's,Medium,4,8.7
Male,18,Engineering,80.66,67.87,53.78,62.27,55.77,2.98,69,52.23,B,23.6,Yes,Yes,PhD,Low,7,6.3
Male,24,Business,90.69,89.05,59.19,76.19,53.2,8.84,66.36,68.12,A,12.8,No,Yes,Bachelor's,Medium,5,6.3
Male,24,Business,51.31,83.57,84.81,70.3,57.94,0.55,54.62,50.18,F,12.6,No,Yes,High School,Low,7,8.4
Male,22,CS,88.1,44.67,52.78,62.95,60.08,4.99,63.54,51.66,B,28,Yes,Yes,High School,Medium,6,7.3
Female,18,Engineering,77.31,47.22,63.29,99.68,57.07,2.54,97.15,57.71,B,11,No,Yes,Master's,Low,2,5.7
Male,20,Engineering,82.57,94.6,70.88,68.26,51.55,1.98,95.86,77.27,D,21.3,No,Yes,PhD,Low,6,4.6
Male,18,Engineering,75.83,90.79,68.04,77.62,84.26,8.75,90.49,59.33,A,25.9,No,Yes,Bachelor's,High,2,5.8
Male,22,Business,56.52,68.61,46.16,51.12,87.66,1.42,53.36,82.95,D,24.2,No,Yes,Master's,Medium,4,5.3
Male,18,Mathematics,52.73,89.07,86.16,93.85,87.71,0.46,92.81,78.12,C,6.5,Yes,Yes,Master's,Medium,5,6.6
