Date,Store ID,Product ID,Category,Region,Inventory Level,Units Sold,Units Ordered,Demand Forecast,Price,Discount,Weather Condition,Holiday/Promotion,Competitor Pricing,Seasonality,Sales
2022-01-01,S001,P0020,Toys,East,274,99.0,166.0,115.23,30.24,5,Cloudy,0,27.1,Spring,2993.7599999999998
2022-01-01,S002,P0001,Groceries,South,343,104.0,144.0,112.55,32.8,20,Sunny,1,30.78,Spring,3411.2
2022-01-01,S002,P0002,Clothing,West,373,141.0,151.0,135.62,46.16,10,Rainy,1,45.21,Winter,6508.5599999999995
2022-01-01,S002,P0003,Furniture,East,445,182.0,119.0,176.31,20.46,20,Snowy,1,22.0,Spring,3723.7200000000003
2022-01-01,S002,P0004,Toys,West,191,63.0,115.0,54.57,26.19,0,Cloudy,0,28.06,Autumn,1649.97
2022-01-01,S002,P0005,Toys,West,281,156.0,25.0,150.9,83.29,20,Rainy,0,80.64,Autumn,12993.240000000002
2022-01-01,S002,P0006,Furniture,North,492,250.0,168.0,242.57,85.59,20,Cloudy,0,86.82,Winter,21397.5
2022-01-01,S002,P0007,Groceries,West,460,393.0,70.0,401.48,91.13,5,Sunny,0,93.33,Summer,35814.09
2022-01-01,S002,P0008,Electronics,West,304,29.0,99.0,35.54,66.96,20,Snowy,0,65.36,Summer,1941.84
2022-01-01,S002,P0009,Clothing,South,113,9.0,84.0,14.78,81.29,5,Rainy,1,82.06,Winter,731.61
2022-01-01,S002,P0010,Electronics,North,157,126.0,181.0,132.75,60.84,0,Snowy,1,65.22,Winter,7665.84
2022-01-01,S002,P0011,Groceries,West,67,13.0,33.0,7.44,34.62,0,Snowy,1,33.98,Autumn,450.05999999999995
2022-01-01,S002,P0012,Groceries,East,281,25.0,136.0,37.27,19.56,5,Rainy,1,19.01,Winter,488.99999999999994
2022-01-01,S002,P0013,Clothing,East,389,283.0,177.0,299.7,57.78,20,Cloudy,0,58.5,Spring,16351.74
2022-01-01,S002,P0014,Electronics,East,465,359.0,77.0,370.36,91.28,20,Cloudy,0,90.85,Summer,32769.52
2022-01-01,S002,P0015,Toys,South,197,129.0,94.0,148.55,59.9,15,Sunny,1,55.23,Winter,7727.099999999999
2022-01-01,S002,P0016,Toys,South,242,63.0,85.0,58.07,45.65,20,Rainy,1,42.17,Spring,2875.95
2022-01-01,S002,P0017,Groceries,West,398,373.0,92.0,390.89,11.71,20,Cloudy,1,10.0,Winter,4367.83
2022-01-01,S002,P0018,Groceries,North,234,160.0,140.0,177.41,58.84,5,Cloudy,0,54.39,Summer,9414.400000000001
2022-01-01,S002,P0019,Toys,East,67,15.0,186.0,34.38,84.99,5,Sunny,1,81.02,Winter,1274.85
2022-01-01,S002,P0020,Toys,West,221,101.0,38.0,115.0,87.1,0,Rainy,1,91.56,Spring,8797.099999999999
2022-01-01,S003,P0001,Toys,South,241,147.0,180.0,161.09,67.21,5,Sunny,1,67.39,Summer,9879.869999999999
2022-01-01,S003,P0002,Electronics,West,115,4.0,169.0,11.11,28.2,10,Sunny,1,25.63,Spring,112.8
2022-01-01,S003,P0003,Groceries,South,375,77.0,145.0,75.04,56.16,10,Sunny,1,57.16,Spring,4324.32
2022-01-01,S003,P0004,Toys,South,153,31.0,145.0,42.99,89.53,20,Rainy,1,93.6,Winter,2775.43
2022-01-01,S003,P0005,Clothing,West,438,325.0,20.0,330.92,97.95,20,Sunny,0,93.54,Winter,31833.75
2022-01-01,S003,P0006,Groceries,North,456,163.0,22.0,159.17,76.37,5,Rainy,1,71.38,Summer,12448.310000000001
2022-01-01,S003,P0007,Electronics,North,189,34.0,107.0,26.91,86.99,15,Rainy,1,90.5,Summer,2957.66
2022-01-01,S003,P0008,Toys,North,223,47.0,107.0,45.48,66.53,15,Cloudy,1,70.46,Spring,3126.91
2022-01-01,S003,P0009,Groceries,South,381,15.0,184.0,30.05,74.86,15,Snowy,1,73.93,Winter,1122.9
2022-01-01,S003,P0010,Groceries,South,166,126.0,124.0,141.34,97.09,5,Rainy,1,95.8,Summer,12233.34
2022-01-01,S003,P0011,Toys,East,292,232.0,155.0,242.02,56.19,0,Snowy,1,57.85,Winter,13036.08
2022-01-01,S003,P0012,Electronics,North,311,175.0,55.0,176.75,90.38,20,Cloudy,0,89.52,Summer,15816.5
2022-01-01,S003,P0013,Furniture,North,51,17.0,172.0,12.86,73.98,20,Cloudy,1,76.65,Summer,1257.66
2022-01-01,S003,P0014,Electronics,South,398,369.0,26.0,387.88,79.03,5,Rainy,0,82.51,Spring,29162.07
2022-01-01,S003,P0015,Clothing,West,445,260.0,24.0,266.36,27.72,5,Snowy,0,23.28,Autumn,7207.2
2022-01-01,S003,P0016,Groceries,South,487,347.0,93.0,349.36,98.18,15,Rainy,0,99.58,Winter,34068.46
2022-01-01,S003,P0017,Clothing,East,429,150.0,168.0,157.82,27.1,5,Cloudy,1,27.4,Spring,4065.0
2022-01-01,S003,P0018,Toys,West,204,70.0,170.0,83.01,97.08,15,Snowy,1,94.88,Winter,6795.599999999999
2022-01-01,S003,P0019,Clothing,East,330,249.0,37.0,268.25,26.71,15,Cloudy,1,24.81,Summer,6650.79
2022-01-01,S003,P0020,Electronics,North,431,370.0,99.0,387.57,95.85,20,Cloudy,1,95.7,Spring,35464.5
2022-01-01,S004,P0001,Toys,South,477,271.0,66.0,286.65,15.62,15,Sunny,0,16.09,Winter,4233.0199999999995
2022-01-01,S004,P0002,Clothing,North,462,180.0,183.0,176.06,41.13,5,Sunny,0,45.05,Autumn,7403.400000000001
2022-01-01,S004,P0003,Clothing,West,446,344.0,27.0,352.93,89.32,20,Cloudy,0,93.0,Autumn,30726.079999999998
2022-01-01,S004,P0004,Groceries,West,437,0.0,160.0,-2.4,87.23,10,Sunny,0,90.36,Spring,0.0
2022-01-01,S004,P0005,Groceries,North,397,200.0,172.0,196.57,81.72,0,Snowy,1,85.22,Spring,16344.0
2022-01-01,S004,P0006,Electronics,East,470,382.0,195.0,396.4,41.35,10,Snowy,0,39.86,Summer,15795.7
2022-01-01,S004,P0007,Electronics,West,264,190.0,139.0,197.45,67.26,20,Cloudy,0,64.78,Summer,12779.400000000001
2022-01-01,S004,P0008,Furniture,South,250,51.0,137.0,54.98,85.88,20,Snowy,1,86.14,Winter,4379.88
2022-01-01,S004,P0009,Furniture,North,63,40.0,73.0,51.78,59.23,10,Rainy,1,61.1,Summer,2369.2
2022-01-01,S004,P0010,Groceries,East,447,104.0,96.0,115.03,33.48,15,Cloudy,0,37.15,Summer,3481.9199999999996
2022-01-01,S004,P0011,Electronics,West,205,46.0,27.0,46.65,54.84,0,Sunny,1,57.76,Spring,2522.6400000000003
2022-01-01,S004,P0012,Electronics,North,349,9.0,165.0,0.95,14.25,5,Rainy,1,18.56,Spring,128.25
2022-01-01,S004,P0013,Furniture,East,191,56.0,65.0,54.47,61.81,0,Sunny,0,63.92,Autumn,3461.36
2022-01-01,S004,P0014,Electronics,West,406,63.0,139.0,69.73,66.94,10,Snowy,1,68.47,Winter,4217.22
2022-01-01,S004,P0015,Clothing,South,228,181.0,127.0,171.96,60.54,5,Cloudy,0,65.27,Autumn,10957.74
2022-01-01,S004,P0016,Groceries,South,263,94.0,24.0,98.05,94.26,15,Rainy,0,96.74,Summer,8860.44
2022-01-01,S004,P0017,Electronics,South,203,46.0,75.0,55.12,25.55,0,Rainy,0,28.07,Winter,1175.3
2022-01-01,S004,P0018,Groceries,West,143,8.0,27.0,27.3,16.73,5,Cloudy,1,18.79,Spring,133.84
2022-01-01,S004,P0019,Groceries,West,359,172.0,125.0,181.25,71.2,15,Rainy,1,73.85,Spring,12246.4
2022-01-01,S004,P0020,Clothing,West,211,68.0,37.0,86.27,11.5,20,Snowy,0,9.26,Winter,782.0
2022-01-01,S005,P0001,Toys,West,111,77.0,60.0,83.47,70.33,10,Cloudy,0,70.29,Winter,5415.41
2022-01-01,S005,P0002,Clothing,West,415,298.0,107.0,292.96,57.15,5,Snowy,1,60.71,Autumn,17030.7
2022-01-01,S005,P0003,Electronics,North,384,64.0,26.0,76.02,36.17,5,Sunny,0,40.93,Spring,2314.88
2022-01-01,S005,P0004,Furniture,West,436,300.0,174.0,292.04,50.77,15,Snowy,1,54.7,Spring,15231.000000000002
2022-01-01,S005,P0005,Clothing,West,180,21.0,47.0,38.63,92.86,15,Rainy,1,96.3,Winter,1950.06
2022-01-01,S005,P0006,Groceries,North,185,176.0,163.0,174.06,60.76,20,Cloudy,0,61.15,Summer,10693.76
2022-01-01,S005,P0007,Clothing,South,292,131.0,140.0,122.6,46.47,15,Snowy,0,50.84,Summer,6087.57
2022-01-01,S005,P0008,Toys,West,478,317.0,197.0,328.64,34.08,5,Snowy,1,30.44,Winter,10803.359999999999
2022-01-01,S005,P0009,Groceries,West,182,97.0,27.0,92.62,87.81,5,Snowy,0,85.45,Spring,8517.57
2022-01-01,S005,P0010,Clothing,East,87,8.0,141.0,14.38,37.04,10,Rainy,1,36.87,Summer,296.32
2022-01-01,S005,P0011,Groceries,West,427,104.0,128.0,94.65,54.12,10,Rainy,1,53.03,Summer,5628.48
2022-01-01,S005,P0012,Electronics,West,245,87.0,188.0,90.59,67.64,15,Sunny,0,63.53,Summer,5884.68
2022-01-01,S005,P0013,Furniture,South,317,238.0,95.0,256.57,82.18,5,Cloudy,0,87.09,Summer,19558.84
2022-01-01,S005,P0014,Electronics,South,325,171.0,43.0,188.55,42.62,20,Cloudy,1,42.01,Autumn,7288.0199999999995
2022-01-01,S005,P0015,Furniture,West,411,250.0,119.0,260.79,11.54,10,Cloudy,0,11.27,Spring,2885.0
2022-01-01,S005,P0016,Clothing,South,71,11.0,32.0,1.85,16.3,5,Sunny,0,17.98,Winter,179.3
2022-01-01,S005,P0017,Electronics,East,388,371.0,98.0,390.04,98.31,15,Sunny,1,102.42,Spring,36473.01
2022-01-01,S005,P0018,Furniture,West,161,107.0,66.0,103.97,48.96,10,Snowy,1,50.03,Spring,5238.72
2022-01-01,S005,P0019,Groceries,South,235,106.0,124.0,119.33,88.22,5,Rainy,0,91.16,Spring,9351.32
2022-01-01,S005,P0020,Electronics,South,108,101.0,52.0,105.92,11.04,10,Snowy,1,9.14,Autumn,1115.04
2022-01-02,S001,P0001,Groceries,West,116,81.0,104.0,92.94,27.95,10,Cloudy,0,30.89,Spring,2263.95
2022-01-02,S001,P0002,Clothing,West,416,163.0,79.0,171.6,19.78,15,Cloudy,0,18.76,Spring,3224.1400000000003
2022-01-02,S001,P0003,Clothing,South,488,464.0,163.0,463.12,70.99,10,Snowy,0,72.93,Summer,32939.36
2022-01-02,S001,P0004,Groceries,East,248,116.0,107.0,133.92,49.56,5,Snowy,0,50.46,Summer,5748.96
2022-01-02,S001,P0005,Electronics,East,238,200.0,40.0,204.3,23.76,15,Sunny,1,19.19,Summer,4752.0
2022-01-02,S001,P0006,Furniture,East,471,58.0,32.0,51.57,47.56,0,Snowy,1,46.82,Summer,2758.48
2022-01-02,S001,P0007,Electronics,North,178,56.0,149.0,60.3,17.1,5,Snowy,1,17.0,Autumn,957.6000000000001
2022-01-02,S001,P0008,Clothing,East,92,74.0,121.0,67.04,58.89,5,Cloudy,0,61.56,Autumn,4357.86
2022-01-02,S001,P0009,Toys,South,99,54.0,182.0,70.6,99.76,20,Cloudy,0,95.61,Spring,5387.04
2022-01-02,S001,P0010,Clothing,North,171,39.0,163.0,47.8,11.44,5,Sunny,0,12.71,Summer,446.15999999999997
2022-01-02,S001,P0011,Furniture,East,215,12.0,173.0,16.92,53.84,0,Cloudy,1,53.79,Spring,646.08
2022-01-02,S001,P0012,Furniture,East,281,56.0,187.0,70.71,57.84,5,Snowy,1,60.99,Summer,3239.04
2022-01-02,S001,P0013,Toys,North,455,31.0,124.0,44.46,35.51,15,Cloudy,1,31.06,Autumn,1100.81
2022-01-02,S001,P0014,Electronics,West,84,25.0,20.0,23.36,31.41,0,Cloudy,1,28.6,Spring,785.25
2022-01-02,S001,P0015,Electronics,East,246,198.0,67.0,203.23,28.06,20,Cloudy,1,30.29,Winter,5555.88
2022-01-02,S001,P0016,Electronics,West,399,77.0,147.0,67.55,35.67,15,Snowy,0,38.02,Summer,2746.59
2022-01-02,S001,P0017,Furniture,West,242,165.0,105.0,181.86,28.18,5,Cloudy,0,27.5,Autumn,4649.7
2022-01-02,S001,P0018,Toys,North,478,42.0,168.0,55.16,74.42,5,Snowy,0,69.67,Summer,3125.64
2022-01-02,S001,P0019,Furniture,South,156,8.0,67.0,24.41,91.95,5,Cloudy,1,87.43,Spring,735.6
2022-01-02,S001,P0020,Electronics,North,221,174.0,168.0,187.49,97.88,0,Snowy,0,99.5,Autumn,17031.12
2022-01-02,S002,P0001,Electronics,West,402,343.0,141.0,339.04,66.57,20,Rainy,1,63.92,Summer,22833.51
2022-01-02,S002,P0002,Furniture,West,132,71.0,60.0,82.44,90.36,5,Rainy,0,86.73,Winter,6415.56
2022-01-02,S002,P0003,Groceries,West,218,157.0,31.0,153.42,92.24,5,Snowy,1,89.57,Autumn,14481.679999999998
2022-01-02,S002,P0004,Groceries,South,131,88.0,109.0,100.61,68.71,0,Snowy,0,69.34,Spring,6046.48
2022-01-02,S002,P0005,Groceries,North,93,64.0,128.0,57.53,87.22,5,Cloudy,1,90.59,Spring,5582.08
2022-01-02,S002,P0006,Groceries,East,344,273.0,154.0,273.1,79.38,0,Rainy,0,77.28,Autumn,21670.739999999998
2022-01-02,S002,P0007,Groceries,North,340,247.0,148.0,264.18,17.41,15,Snowy,0,13.57,Summer,4300.27
2022-01-02,S002,P0008,Electronics,North,241,42.0,187.0,46.32,14.8,15,Sunny,1,13.94,Spring,621.6
2022-01-02,S002,P0009,Electronics,North,296,197.0,157.0,195.61,30.5,0,Sunny,0,28.86,Spring,6008.5
2022-01-02,S002,P0010,Groceries,West,472,374.0,65.0,387.41,27.84,15,Cloudy,1,32.0,Spring,10412.16
2022-01-02,S002,P0011,Furniture,East,308,154.0,22.0,169.13,88.62,0,Cloudy,0,86.3,Winter,13647.480000000001
2022-01-02,S002,P0012,Toys,North,434,236.0,30.0,239.09,82.35,20,Rainy,0,83.13,Autumn,19434.6
2022-01-02,S002,P0013,Toys,North,287,278.0,92.0,279.91,92.57,10,Sunny,1,97.09,Summer,25734.46
2022-01-02,S002,P0014,Furniture,West,190,27.0,134.0,31.53,94.38,5,Rainy,0,89.47,Autumn,2548.2599999999998
2022-01-02,S002,P0015,Toys,North,353,106.0,191.0,110.49,70.59,0,Cloudy,1,75.27,Winter,7482.54
2022-01-02,S002,P0016,Toys,West,210,154.0,70.0,166.83,63.13,10,Sunny,0,67.23,Autumn,9722.02
2022-01-02,S002,P0017,Clothing,West,193,176.0,38.0,174.49,46.04,5,Rainy,1,41.4,Autumn,8103.04
2022-01-02,S002,P0018,Groceries,East,124,124.0,46.0,116.05,21.07,10,Sunny,0,21.71,Autumn,2612.68
2022-01-02,S002,P0019,Toys,East,492,479.0,132.0,469.74,79.11,0,Cloudy,0,80.06,Winter,37893.69
2022-01-02,S002,P0020,Clothing,South,222,78.0,42.0,76.55,64.99,0,Sunny,1,65.4,Summer,5069.219999999999
2022-01-02,S003,P0001,Toys,West,277,114.0,40.0,132.41,73.48,10,Cloudy,0,72.55,Autumn,8376.720000000001
2022-01-02,S003,P0002,Groceries,East,175,2.0,140.0,-3.4,87.5,0,Rainy,0,91.2,Autumn,175.0
2022-01-02,S003,P0003,Toys,East,157,7.0,187.0,22.8,88.68,20,Cloudy,1,87.38,Autumn,620.76
2022-01-02,S003,P0004,Furniture,West,120,54.0,154.0,49.64,82.36,20,Snowy,0,85.85,Autumn,4447.44
2022-01-02,S003,P0005,Furniture,East,375,282.0,61.0,297.42,38.56,5,Cloudy,0,36.57,Winter,10873.92
2022-01-02,S003,P0006,Groceries,East,302,93.0,33.0,106.58,97.74,0,Cloudy,0,97.69,Winter,9089.82
2022-01-02,S003,P0007,Electronics,West,375,85.0,40.0,85.31,37.68,15,Cloudy,0,36.72,Autumn,3202.8
2022-01-02,S003,P0008,Clothing,South,248,136.0,50.0,130.52,36.03,5,Rainy,0,37.49,Spring,4900.08
2022-01-02,S003,P0009,Electronics,West,219,140.0,196.0,139.46,88.97,0,Snowy,1,91.53,Spring,12455.8
2022-01-02,S003,P0010,Furniture,West,146,79.0,155.0,94.23,16.48,10,Cloudy,1,21.42,Spring,1301.92
2022-01-02,S003,P0011,Furniture,South,218,106.0,111.0,117.65,58.37,10,Cloudy,1,58.1,Autumn,6187.219999999999
2022-01-02,S003,P0012,Groceries,West,260,1.0,142.0,1.99,27.86,5,Snowy,1,31.78,Winter,27.86
2022-01-02,S003,P0013,Electronics,West,414,203.0,53.0,206.35,39.14,5,Rainy,1,35.3,Autumn,7945.42
2022-01-02,S003,P0014,Toys,North,420,368.0,71.0,384.47,66.51,0,Cloudy,0,70.84,Spring,24475.68
2022-01-02,S003,P0015,Electronics,East,435,286.0,159.0,283.25,89.65,20,Snowy,0,84.99,Winter,25639.9
2022-01-02,S003,P0016,Clothing,South,230,69.0,173.0,70.77,86.7,20,Rainy,0,91.05,Spring,5982.3
2022-01-02,S003,P0017,Toys,South,456,52.0,78.0,65.67,29.69,20,Snowy,0,25.27,Summer,1543.88
2022-01-02,S003,P0018,Toys,East,319,109.0,83.0,126.67,86.93,10,Rainy,1,82.59,Winter,9475.37
2022-01-02,S003,P0019,Furniture,North,59,50.0,135.0,44.37,59.33,10,Cloudy,0,54.98,Spring,2966.5
2022-01-02,S003,P0020,Electronics,East,155,0.0,92.0,9.42,57.07,10,Rainy,1,53.34,Summer,0.0
2022-01-02,S004,P0001,Electronics,North,144,22.0,45.0,39.12,74.16,15,Rainy,0,69.74,Autumn,1631.52
2022-01-02,S004,P0002,Electronics,East,283,45.0,156.0,46.65,59.38,0,Sunny,1,62.4,Spring,2672.1
2022-01-02,S004,P0003,Clothing,East,347,89.0,122.0,87.77,48.18,0,Sunny,1,49.64,Spring,4288.0199999999995
2022-01-02,S004,P0004,Groceries,East,410,209.0,128.0,224.66,94.75,20,Snowy,0,90.1,Autumn,19802.75
2022-01-02,S004,P0005,Toys,West,99,4.0,76.0,14.91,60.89,5,Sunny,0,59.42,Autumn,243.56
2022-01-02,S004,P0006,Toys,East,97,47.0,138.0,52.02,14.71,5,Cloudy,0,16.85,Autumn,691.37
2022-01-02,S004,P0007,Furniture,West,339,115.0,95.0,124.22,33.09,10,Rainy,0,28.55,Spring,3805.3500000000004
2022-01-02,S004,P0008,Toys,South,144,27.0,119.0,21.73,98.75,15,Snowy,0,102.7,Summer,2666.25
2022-01-02,S004,P0009,Furniture,South,110,90.0,28.0,103.6,12.4,20,Snowy,0,8.56,Autumn,1116.0
2022-01-02,S004,P0010,Groceries,South,348,206.0,67.0,214.99,92.01,15,Snowy,1,87.81,Autumn,18954.06
2022-01-02,S004,P0011,Toys,East,458,328.0,144.0,339.54,92.12,20,Sunny,1,87.37,Spring,30215.36
2022-01-02,S004,P0012,Groceries,South,403,155.0,24.0,145.99,37.39,20,Sunny,0,38.71,Spring,5795.45
2022-01-02,S004,P0013,Clothing,West,198,184.0,161.0,191.55,85.35,10,Rainy,1,80.79,Spring,15704.4
2022-01-02,S004,P0014,Electronics,East,472,16.0,166.0,28.75,82.64,0,Cloudy,0,78.35,Autumn,1322.24
2022-01-02,S004,P0015,Toys,North,178,90.0,79.0,98.56,92.19,10,Snowy,1,97.07,Summer,8297.1
2022-01-02,S004,P0016,Clothing,West,215,178.0,111.0,180.76,61.41,0,Sunny,0,61.32,Spring,10930.98
2022-01-02,S004,P0017,Electronics,South,477,256.0,150.0,254.89,96.47,20,Cloudy,0,93.35,Spring,24696.32
2022-01-02,S004,P0018,Furniture,South,198,27.0,62.0,25.51,89.33,0,Sunny,0,89.63,Spring,2411.91
2022-01-02,S004,P0019,Groceries,North,110,67.0,83.0,79.41,59.49,20,Rainy,1,57.55,Spring,3985.83
2022-01-02,S004,P0020,Electronics,North,254,84.0,112.0,77.15,73.05,15,Sunny,1,74.55,Autumn,6136.2
2022-01-02,S005,P0001,Groceries,East,223,67.0,53.0,74.8,67.49,5,Sunny,0,65.24,Winter,4521.83
2022-01-02,S005,P0002,Furniture,West,100,15.0,114.0,28.97,66.05,10,Sunny,1,65.16,Autumn,990.75
2022-01-02,S005,P0003,Toys,West,397,333.0,35.0,336.02,80.88,20,Rainy,1,84.97,Winter,26933.039999999997
2022-01-02,S005,P0004,Groceries,North,442,56.0,38.0,54.08,60.5,10,Cloudy,1,64.88,Spring,3388.0
2022-01-02,S005,P0005,Furniture,West,411,165.0,194.0,172.41,71.72,20,Rainy,0,75.17,Autumn,11833.8
2022-01-02,S005,P0006,Clothing,North,76,54.0,175.0,49.32,69.21,15,Rainy,1,71.17,Summer,3737.3399999999997
2022-01-02,S005,P0007,Clothing,East,257,93.0,148.0,84.69,70.69,20,Snowy,0,71.37,Winter,6574.17
2022-01-02,S005,P0008,Furniture,East,353,250.0,57.0,254.75,63.54,15,Cloudy,0,61.05,Summer,15885.0
2022-01-02,S005,P0009,Electronics,West,119,90.0,76.0,99.63,78.08,10,Sunny,0,73.69,Winter,7027.2
2022-01-02,S005,P0010,Furniture,West,403,83.0,77.0,84.32,43.09,10,Sunny,1,47.02,Spring,3576.4700000000003
2022-01-02,S005,P0011,Electronics,East,60,16.0,149.0,23.98,25.67,5,Sunny,1,27.78,Winter,410.72
2022-01-02,S005,P0012,Toys,West,182,87.0,121.0,83.13,38.59,20,Rainy,0,33.87,Spring,3357.3300000000004
2022-01-02,S005,P0013,Furniture,East,455,241.0,136.0,235.03,57.99,5,Sunny,0,55.4,Spring,13975.59
2022-01-02,S005,P0014,Toys,South,437,286.0,116.0,282.52,14.65,20,Snowy,1,13.12,Winter,4189.900000000001
2022-01-02,S005,P0015,Clothing,West,289,60.0,83.0,52.77,63.26,0,Rainy,1,61.02,Autumn,3795.6
2022-01-02,S005,P0016,Groceries,East,487,437.0,106.0,432.86,43.64,15,Cloudy,1,39.13,Autumn,19070.68
2022-01-02,S005,P0017,Toys,North,418,377.0,76.0,383.26,84.85,20,Sunny,1,84.29,Summer,31988.449999999997
2022-01-02,S005,P0018,Clothing,West,89,83.0,113.0,78.67,47.05,15,Rainy,1,47.89,Spring,3905.1499999999996
2022-01-02,S005,P0019,Clothing,West,421,203.0,152.0,220.23,76.83,20,Snowy,0,75.86,Spring,15596.49
2022-01-02,S005,P0020,Clothing,South,211,183.0,189.0,190.11,93.95,10,Sunny,1,98.89,Spring,17192.850000000002
2022-01-03,S001,P0001,Electronics,West,154,5.0,189.0,5.36,62.7,20,Rainy,0,58.22,Winter,313.5
2022-01-03,S001,P0002,Clothing,East,282,199.0,70.0,193.26,54.02,0,Cloudy,0,52.91,Spring,10749.980000000001
2022-01-03,S001,P0003,Toys,South,183,176.0,124.0,168.28,26.03,10,Rainy,0,29.38,Winter,4581.280000000001
2022-01-03,S001,P0004,Electronics,East,239,214.0,51.0,228.51,10.19,0,Cloudy,1,7.82,Winter,2180.66
2022-01-03,S001,P0005,Groceries,West,368,165.0,56.0,170.76,95.54,0,Sunny,0,91.29,Spring,15764.1
2022-01-03,S001,P0006,Furniture,South,57,9.0,40.0,13.6,57.65,5,Sunny,0,58.01,Summer,518.85
2022-01-03,S001,P0007,Clothing,South,460,140.0,70.0,143.7,87.85,20,Sunny,0,91.9,Winter,12299.0
2022-01-03,S001,P0008,Groceries,West,214,177.0,150.0,178.0,53.94,5,Snowy,0,51.47,Autumn,9547.38
2022-01-03,S001,P0009,Groceries,South,407,217.0,55.0,217.69,61.42,20,Sunny,0,65.86,Winter,13328.140000000001
2022-01-03,S001,P0010,Electronics,West,51,47.0,155.0,38.08,99.14,10,Snowy,0,102.66,Autumn,4659.58
2022-01-03,S001,P0011,Groceries,East,252,3.0,98.0,5.18,60.52,0,Cloudy,0,62.72,Autumn,181.56
2022-01-03,S001,P0012,Clothing,East,72,2.0,62.0,9.81,86.93,15,Cloudy,0,83.11,Summer,173.86
2022-01-03,S001,P0013,Clothing,South,194,18.0,120.0,20.5,83.11,10,Snowy,1,85.16,Summer,1495.98
2022-01-03,S001,P0014,Toys,South,302,242.0,145.0,255.54,32.28,10,Rainy,1,30.1,Winter,7811.76
2022-01-03,S001,P0015,Toys,North,330,228.0,157.0,246.91,52.17,10,Sunny,1,52.43,Summer,11894.76
2022-01-03,S001,P0016,Clothing,East,148,31.0,160.0,35.11,93.61,15,Snowy,1,94.15,Spring,2901.91
2022-01-03,S001,P0017,Clothing,North,315,16.0,197.0,33.51,98.25,5,Sunny,0,100.34,Spring,1572.0
2022-01-03,S001,P0018,Furniture,East,97,20.0,147.0,37.26,78.53,5,Rainy,0,75.48,Autumn,1570.6
2022-01-03,S001,P0019,Furniture,South,240,193.0,171.0,203.45,56.91,0,Sunny,1,54.2,Spring,10983.63
2022-01-03,S001,P0020,Toys,North,178,118.0,162.0,110.02,35.32,20,Cloudy,1,37.56,Summer,4167.76
2022-01-03,S002,P0001,Toys,North,405,96.0,171.0,100.82,48.08,0,Rainy,1,49.4,Autumn,4615.68
2022-01-03,S002,P0002,Electronics,North,200,48.0,47.0,55.45,46.95,15,Snowy,1,43.48,Summer,2253.6000000000004
